case_id,source_case_id,image,case_origin,factor,level,texture_name,expected_visible_tags,tag_size_mm,spacing_mm,render_width_px,render_height_px,camera_x_m,camera_y_m,camera_z_m,target_x_m,target_y_m,target_z_m,view_angle_deg,distance_m,occlusion_fraction,postprocess,fx_px,fy_px,cx_px,cy_px,camera_rot_x_rad,camera_rot_y_rad,camera_rot_z_rad,detected_count,detection_rate,detected_ids,missed_count,has_any_detection,all_expected_detected
render_000_baseline_baseline,,render_000_baseline_baseline.png,blender_render,baseline,baseline,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0,36,1.0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,0,True,True
render_001_distance_0p45m,,render_001_distance_0p45m.png,blender_render,distance,0.45m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.45,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0,8,0.2222222222222222,13 14 15 16 19 20 21 22,28,True,False
render_002_distance_0p60m,,render_002_distance_0p60m.png,blender_render,distance,0.60m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0,24,0.6666666666666666,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,12,True,False
render_003_distance_0p80m,,render_003_distance_0p80m.png,blender_render,distance,0.80m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0,36,1.0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,0,True,True
render_004_distance_1p00m,,render_004_distance_1p00m.png,blender_render,distance,1.00m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0,36,1.0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,0,True,True
render_005_distance_1p25m,,render_005_distance_1p25m.png,blender_render,distance,1.25m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.25,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0,36,1.0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,0,True,True
render_006_distance_1p60m,,render_006_distance_1p60m.png,blender_render,distance,1.60m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.6,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0,36,1.0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,0,True,True
render_007_distance_2p00m,,render_007_distance_2p00m.png,blender_render,distance,2.00m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0,24,0.6666666666666666,0 1 2 3 5 8 9 11 12 13 14 15 17 18 19 20 21 23 30 31 32 33 34 35,12,True,False
render_008_viewing_angle_0deg,,render_008_viewing_angle_0deg.png,blender_render,viewing_angle,0deg,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0,36,1.0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,0,True,True
render_009_viewing_angle_15deg,,render_009_viewing_angle_15deg.png,blender_render,viewing_angle,15deg,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.2847009496127728,0.0,1.0625184089179753,0.0,0.0,0.0,15.0,1.1,0.0,,1050.0,1050.0,480.0,360.0,0.2617994248867035,-1.9904078385479806e-07,1.5707964897155762,36,1.0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,0,True,True
