case_id,image,factor,level,id,corner_index,x,y
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,19,0,297,375
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,19,1,366,375
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,19,2,366,444
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,19,3,297,444
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,25,0,297,474
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,25,1,366,474
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,25,2,366,543
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,25,3,297,543
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,31,0,297,573
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,31,1,366,573
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,31,2,366,642
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,31,3,297,642
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,0,0,198,78
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,0,1,267,78
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,0,2,267,147
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,0,3,198,147
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,6,0,198,177
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,6,1,267,177
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,6,2,267,246
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,6,3,198,246
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,12,0,198,276
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,12,1,267,276
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,12,2,267,345
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,12,3,198,345
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,18,0,198,375
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,18,1,267,375
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,18,2,267,444
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,18,3,198,444
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,24,0,198,474
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,24,1,267,474
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,24,2,267,543
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,24,3,198,543
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,30,0,198,573
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,30,1,267,573
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,30,2,267,642
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,30,3,198,642
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,5,0,693,78
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,5,1,762,78
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,5,2,762,147
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,5,3,693,147
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,11,0,693,177
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,11,1,762,177
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,11,2,762,246
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,11,3,693,246
render_000_baseline_baseline,render_000_baseline_baseline.png,baseline,baseline,17,0,693,276
