image,scale_factor,board_size_m,tag_size_m,distance_m,distance_over_tag_size,render_width_px,render_height_px,camera_x_m,camera_y_m,camera_z_m,camera_rot_x_rad,camera_rot_y_rad,camera_rot_z_rad,fx_px,fy_px,cx_px,cy_px,width_px,height_px,detected_count,detected_ids,annotated_image
ratio_s0p5_r7p500.png,0.5,0.3048,0.03,0.22499999999999998,7.5,960,720,0.0,0.0,0.22499999403953552,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,960,720,8,13 14 15 16 19 20 21 22,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r7p500_s0p5_w960.png
ratio_s0p5_r7p500.png,0.5,0.3048,0.03,0.22499999999999998,7.5,960,720,0.0,0.0,0.22499999403953552,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,400,300,8,13 14 15 16 19 20 21 22,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r7p500_s0p5_w400.png
ratio_s0p5_r7p500.png,0.5,0.3048,0.03,0.22499999999999998,7.5,960,720,0.0,0.0,0.22499999403953552,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,300,225,8,13 14 15 16 19 20 21 22,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r7p500_s0p5_w300.png
ratio_s0p5_r7p500.png,0.5,0.3048,0.03,0.22499999999999998,7.5,960,720,0.0,0.0,0.22499999403953552,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,200,150,6,14 15 16 20 21 22,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r7p500_s0p5_w200.png
ratio_s0p5_r7p500.png,0.5,0.3048,0.03,0.22499999999999998,7.5,960,720,0.0,0.0,0.22499999403953552,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,150,112,8,13 14 15 16 19 20 21 22,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r7p500_s0p5_w150.png
ratio_s0p5_r7p500.png,0.5,0.3048,0.03,0.22499999999999998,7.5,960,720,0.0,0.0,0.22499999403953552,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,100,75,0,,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r7p500_s0p5_w100.png
ratio_s0p5_r10p000.png,0.5,0.3048,0.03,0.3,10.0,960,720,0.0,0.0,0.30000001192092896,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,960,720,24,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r10p000_s0p5_w960.png
ratio_s0p5_r10p000.png,0.5,0.3048,0.03,0.3,10.0,960,720,0.0,0.0,0.30000001192092896,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,400,300,24,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r10p000_s0p5_w400.png
ratio_s0p5_r10p000.png,0.5,0.3048,0.03,0.3,10.0,960,720,0.0,0.0,0.30000001192092896,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,300,225,24,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r10p000_s0p5_w300.png
ratio_s0p5_r10p000.png,0.5,0.3048,0.03,0.3,10.0,960,720,0.0,0.0,0.30000001192092896,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,200,150,20,7 8 9 10 11 13 14 15 16 17 19 20 21 22 23 25 26 27 28 29,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r10p000_s0p5_w200.png
