image,id,corner_index,x,y
aprilgrid_render_000.png,0,0,587,652
aprilgrid_render_000.png,0,1,547,704
aprilgrid_render_000.png,0,2,497,661
aprilgrid_render_000.png,0,3,537,611
aprilgrid_render_000.png,6,0,515,593
aprilgrid_render_000.png,6,1,476,643
aprilgrid_render_000.png,6,2,428,602
aprilgrid_render_000.png,6,3,467,554
aprilgrid_render_000.png,1,0,641,581
aprilgrid_render_000.png,1,1,603,630
aprilgrid_render_000.png,1,2,554,590
aprilgrid_render_000.png,1,3,592,541
aprilgrid_render_000.png,12,0,447,537
aprilgrid_render_000.png,12,1,407,585
aprilgrid_render_000.png,12,2,360,545
aprilgrid_render_000.png,12,3,400,498
aprilgrid_render_000.png,7,0,570,524
aprilgrid_render_000.png,7,1,532,572
aprilgrid_render_000.png,7,2,484,533
aprilgrid_render_000.png,7,3,523,486
aprilgrid_render_000.png,2,0,693,512
aprilgrid_render_000.png,2,1,657,559
aprilgrid_render_000.png,2,2,608,521
aprilgrid_render_000.png,2,3,644,474
aprilgrid_render_000.png,18,0,380,482
aprilgrid_render_000.png,18,1,340,528
aprilgrid_render_000.png,18,2,295,490
aprilgrid_render_000.png,18,3,335,445
aprilgrid_render_000.png,13,0,502,470
aprilgrid_render_000.png,13,1,464,516
aprilgrid_render_000.png,13,2,417,478
aprilgrid_render_000.png,13,3,456,433
aprilgrid_render_000.png,8,0,623,458
aprilgrid_render_000.png,8,1,587,504
aprilgrid_render_000.png,8,2,539,466
aprilgrid_render_000.png,8,3,576,421
aprilgrid_render_000.png,3,0,743,446
aprilgrid_render_000.png,3,1,708,492
aprilgrid_render_000.png,3,2,660,454
aprilgrid_render_000.png,3,3,694,410
aprilgrid_render_000.png,24,0,316,429
aprilgrid_render_000.png,24,1,276,474
aprilgrid_render_000.png,24,2,232,437
aprilgrid_render_000.png,24,3,273,393
aprilgrid_render_000.png,19,0,436,417
aprilgrid_render_000.png,19,1,397,462
aprilgrid_render_000.png,19,2,353,425
aprilgrid_render_000.png,19,3,391,381
aprilgrid_render_000.png,14,0,555,406
aprilgrid_render_000.png,14,1,518,450
aprilgrid_render_000.png,14,2,472,414
aprilgrid_render_000.png,14,3,509,370
aprilgrid_render_000.png,9,0,673,394
aprilgrid_render_000.png,9,1,639,438
aprilgrid_render_000.png,9,2,591,402
aprilgrid_render_000.png,9,3,626,359
aprilgrid_render_000.png,4,0,791,383
aprilgrid_render_000.png,4,1,758,427
aprilgrid_render_000.png,4,2,709,391
aprilgrid_render_000.png,4,3,743,348
aprilgrid_render_000.png,30,0,254,377
aprilgrid_render_000.png,30,1,213,421
aprilgrid_render_000.png,30,2,171,385
aprilgrid_render_000.png,30,3,212,342
aprilgrid_render_000.png,25,0,372,366
aprilgrid_render_000.png,25,1,333,409
aprilgrid_render_000.png,25,2,290,374
aprilgrid_render_000.png,25,3,329,331
aprilgrid_render_000.png,20,0,490,355
aprilgrid_render_000.png,20,1,453,398
aprilgrid_render_000.png,20,2,408,363
aprilgrid_render_000.png,20,3,445,321
aprilgrid_render_000.png,15,0,606,344
aprilgrid_render_000.png,15,1,571,386
aprilgrid_render_000.png,15,2,525,352
aprilgrid_render_000.png,15,3,561,310
aprilgrid_render_000.png,10,0,722,333
aprilgrid_render_000.png,10,1,688,375
aprilgrid_render_000.png,10,2,642,340
aprilgrid_render_000.png,10,3,675,299
aprilgrid_render_000.png,5,0,837,322
aprilgrid_render_000.png,5,1,805,364
aprilgrid_render_000.png,5,2,757,330
aprilgrid_render_000.png,5,3,789,288
aprilgrid_render_000.png,31,0,310,316
aprilgrid_render_000.png,31,1,271,358
aprilgrid_render_000.png,31,2,229,324
aprilgrid_render_000.png,31,3,268,283
aprilgrid_render_000.png,26,0,426,306
aprilgrid_render_000.png,26,1,389,347
aprilgrid_render_000.png,26,2,346,313
aprilgrid_render_000.png,26,3,383,273
aprilgrid_render_000.png,21,0,541,295
aprilgrid_render_000.png,21,1,505,336
aprilgrid_render_000.png,21,2,461,302
aprilgrid_render_000.png,21,3,497,262
aprilgrid_render_000.png,16,0,655,284
aprilgrid_render_000.png,16,1,621,325
aprilgrid_render_000.png,16,2,576,292
aprilgrid_render_000.png,16,3,610,252
aprilgrid_render_000.png,11,0,769,274
aprilgrid_render_000.png,11,1,736,315
aprilgrid_render_000.png,11,2,690,281
aprilgrid_render_000.png,11,3,722,241
aprilgrid_render_000.png,32,0,364,258
aprilgrid_render_000.png,32,1,327,299
aprilgrid_render_000.png,32,2,285,265
aprilgrid_render_000.png,32,3,323,226
aprilgrid_render_000.png,27,0,478,248
aprilgrid_render_000.png,27,1,442,288
aprilgrid_render_000.png,27,2,399,255
aprilgrid_render_000.png,27,3,435,216
aprilgrid_render_000.png,22,0,591,237
aprilgrid_render_000.png,22,1,556,277
aprilgrid_render_000.png,22,2,512,245
aprilgrid_render_000.png,22,3,547,206
aprilgrid_render_000.png,17,0,702,227
aprilgrid_render_000.png,17,1,670,267
aprilgrid_render_000.png,17,2,625,234
aprilgrid_render_000.png,17,3,658,196
aprilgrid_render_000.png,33,0,417,202
aprilgrid_render_000.png,33,1,381,241
aprilgrid_render_000.png,33,2,339,209
aprilgrid_render_000.png,33,3,375,171
aprilgrid_render_000.png,28,0,528,192
aprilgrid_render_000.png,28,1,493,231
aprilgrid_render_000.png,28,2,451,199
aprilgrid_render_000.png,28,3,485,161
aprilgrid_render_000.png,23,0,638,182
aprilgrid_render_000.png,23,1,605,220
aprilgrid_render_000.png,23,2,562,189
aprilgrid_render_000.png,23,3,595,151
aprilgrid_render_000.png,34,0,467,148
aprilgrid_render_000.png,34,1,432,185
aprilgrid_render_000.png,34,2,391,155
aprilgrid_render_000.png,34,3,426,118
aprilgrid_render_000.png,29,0,576,138
aprilgrid_render_000.png,29,1,543,175
aprilgrid_render_000.png,29,2,500,145
aprilgrid_render_000.png,29,3,534,108
aprilgrid_render_000.png,35,0,515,96
aprilgrid_render_000.png,35,1,482,132
aprilgrid_render_000.png,35,2,441,102
aprilgrid_render_000.png,35,3,475,67
aprilgrid_render_001.png,6,0,493,640
aprilgrid_render_001.png,6,1,442,693
aprilgrid_render_001.png,6,2,391,640
aprilgrid_render_001.png,6,3,442,588
aprilgrid_render_001.png,1,0,638,640
aprilgrid_render_001.png,1,1,588,693
aprilgrid_render_001.png,1,2,536,640
aprilgrid_render_001.png,1,3,586,589
aprilgrid_render_001.png,7,0,564,566
aprilgrid_render_001.png,7,1,514,618
aprilgrid_render_001.png,7,2,464,566
aprilgrid_render_001.png,7,3,514,515
aprilgrid_render_001.png,12,0,421,567
aprilgrid_render_001.png,12,1,370,618
aprilgrid_render_001.png,12,2,321,566
aprilgrid_render_001.png,12,3,372,516
aprilgrid_render_001.png,2,0,708,566
aprilgrid_render_001.png,2,1,659,618
aprilgrid_render_001.png,2,2,608,566
aprilgrid_render_001.png,2,3,656,516
aprilgrid_render_001.png,13,0,492,494
aprilgrid_render_001.png,13,1,442,544
aprilgrid_render_001.png,13,2,393,494
aprilgrid_render_001.png,13,3,443,444
aprilgrid_render_001.png,8,0,634,494
aprilgrid_render_001.png,8,1,586,544
aprilgrid_render_001.png,8,2,535,494
aprilgrid_render_001.png,8,3,584,444
aprilgrid_render_001.png,3,0,776,494
aprilgrid_render_001.png,3,1,728,544
aprilgrid_render_001.png,3,2,677,494
aprilgrid_render_001.png,3,3,724,445
aprilgrid_render_001.png,18,0,351,494
aprilgrid_render_001.png,18,1,299,544
aprilgrid_render_001.png,18,2,252,494
aprilgrid_render_001.png,18,3,303,445
aprilgrid_render_001.png,9,0,702,424
aprilgrid_render_001.png,9,1,655,473
aprilgrid_render_001.png,9,2,604,423
aprilgrid_render_001.png,9,3,652,376
aprilgrid_render_001.png,24,0,282,424
aprilgrid_render_001.png,24,1,231,473
aprilgrid_render_001.png,24,2,185,424
aprilgrid_render_001.png,24,3,235,375
aprilgrid_render_001.png,19,0,422,423
aprilgrid_render_001.png,19,1,373,473
aprilgrid_render_001.png,19,2,324,424
aprilgrid_render_001.png,19,3,374,376
aprilgrid_render_001.png,4,0,842,424
aprilgrid_render_001.png,4,1,796,473
aprilgrid_render_001.png,4,2,744,424
aprilgrid_render_001.png,4,3,791,376
aprilgrid_render_001.png,14,0,562,423
aprilgrid_render_001.png,14,1,514,472
aprilgrid_render_001.png,14,2,464,424
aprilgrid_render_001.png,14,3,513,376
aprilgrid_render_001.png,20,0,492,355
aprilgrid_render_001.png,20,1,443,403
aprilgrid_render_001.png,20,2,396,355
aprilgrid_render_001.png,20,3,444,308
aprilgrid_render_001.png,10,0,768,355
aprilgrid_render_001.png,10,1,722,403
aprilgrid_render_001.png,10,2,672,355
aprilgrid_render_001.png,10,3,718,308
aprilgrid_render_001.png,15,0,630,355
aprilgrid_render_001.png,15,1,583,403
aprilgrid_render_001.png,15,2,534,355
aprilgrid_render_001.png,15,3,581,308
aprilgrid_render_001.png,25,0,353,355
aprilgrid_render_001.png,25,1,304,403
aprilgrid_render_001.png,25,2,257,355
aprilgrid_render_001.png,25,3,307,308
aprilgrid_render_001.png,5,0,907,355
aprilgrid_render_001.png,5,1,862,403
aprilgrid_render_001.png,5,2,810,355
aprilgrid_render_001.png,5,3,855,308
aprilgrid_render_001.png,30,0,215,355
aprilgrid_render_001.png,30,1,165,402
aprilgrid_render_001.png,30,2,119,355
aprilgrid_render_001.png,30,3,170,308
aprilgrid_render_001.png,31,0,287,288
aprilgrid_render_001.png,31,1,237,334
aprilgrid_render_001.png,31,2,192,288
aprilgrid_render_001.png,31,3,242,242
aprilgrid_render_001.png,11,0,833,288
aprilgrid_render_001.png,11,1,788,334
aprilgrid_render_001.png,11,2,738,288
aprilgrid_render_001.png,11,3,783,242
aprilgrid_render_001.png,26,0,424,288
aprilgrid_render_001.png,26,1,375,334
aprilgrid_render_001.png,26,2,328,288
aprilgrid_render_001.png,26,3,377,242
aprilgrid_render_001.png,16,0,697,288
aprilgrid_render_001.png,16,1,650,334
aprilgrid_render_001.png,16,2,602,288
aprilgrid_render_001.png,16,3,648,242
aprilgrid_render_001.png,21,0,560,288
aprilgrid_render_001.png,21,1,513,334
aprilgrid_render_001.png,21,2,465,288
aprilgrid_render_001.png,21,3,512,242
aprilgrid_render_001.png,17,0,762,223
aprilgrid_render_001.png,17,1,717,268
aprilgrid_render_001.png,17,2,668,222
aprilgrid_render_001.png,17,3,713,178
aprilgrid_render_001.png,27,0,492,222
aprilgrid_render_001.png,27,1,444,268
aprilgrid_render_001.png,27,2,398,222
aprilgrid_render_001.png,27,3,445,178
aprilgrid_render_001.png,22,0,626,222
aprilgrid_render_001.png,22,1,580,268
aprilgrid_render_001.png,22,2,533,222
aprilgrid_render_001.png,22,3,579,178
aprilgrid_render_001.png,32,0,357,222
aprilgrid_render_001.png,32,1,308,268
aprilgrid_render_001.png,32,2,263,222
aprilgrid_render_001.png,32,3,311,178
aprilgrid_render_001.png,28,0,558,158
aprilgrid_render_001.png,28,1,512,203
aprilgrid_render_001.png,28,2,465,158
aprilgrid_render_001.png,28,3,511,115
aprilgrid_render_001.png,33,0,425,159
aprilgrid_render_001.png,33,1,377,203
aprilgrid_render_001.png,33,2,332,159
aprilgrid_render_001.png,33,3,379,115
aprilgrid_render_001.png,23,0,691,158
aprilgrid_render_001.png,23,1,646,203
aprilgrid_render_001.png,23,2,599,158
aprilgrid_render_001.png,23,3,644,115
aprilgrid_render_001.png,34,0,491,96
aprilgrid_render_001.png,34,1,445,139
aprilgrid_render_001.png,34,2,400,96
aprilgrid_render_001.png,34,3,446,53
aprilgrid_render_001.png,29,0,623,96
aprilgrid_render_001.png,29,1,578,139
aprilgrid_render_001.png,29,2,531,96
aprilgrid_render_001.png,29,3,576,53
aprilgrid_render_002.png,3,0,602,691
aprilgrid_render_002.png,3,1,526,691
aprilgrid_render_002.png,3,2,526,614
aprilgrid_render_002.png,3,3,602,614
aprilgrid_render_002.png,1,0,385,691
aprilgrid_render_002.png,1,1,309,691
aprilgrid_render_002.png,1,2,309,614
aprilgrid_render_002.png,1,3,385,614
aprilgrid_render_002.png,0,0,276,691
aprilgrid_render_002.png,0,1,200,691
aprilgrid_render_002.png,0,2,201,614
aprilgrid_render_002.png,0,3,277,614
aprilgrid_render_002.png,4,0,711,691
aprilgrid_render_002.png,4,1,635,691
aprilgrid_render_002.png,4,2,634,614
aprilgrid_render_002.png,4,3,710,614
aprilgrid_render_002.png,5,0,820,691
aprilgrid_render_002.png,5,1,744,691
aprilgrid_render_002.png,5,2,743,614
aprilgrid_render_002.png,5,3,818,614
aprilgrid_render_002.png,2,0,493,691
aprilgrid_render_002.png,2,1,418,691
aprilgrid_render_002.png,2,2,418,614
aprilgrid_render_002.png,2,3,493,614
aprilgrid_render_002.png,7,0,386,581
aprilgrid_render_002.png,7,1,310,581
aprilgrid_render_002.png,7,2,311,505
aprilgrid_render_002.png,7,3,386,505
aprilgrid_render_002.png,6,0,278,581
aprilgrid_render_002.png,6,1,202,581
aprilgrid_render_002.png,6,2,203,505
aprilgrid_render_002.png,6,3,278,505
aprilgrid_render_002.png,10,0,709,581
aprilgrid_render_002.png,10,1,634,581
aprilgrid_render_002.png,10,2,633,505
aprilgrid_render_002.png,10,3,708,505
aprilgrid_render_002.png,11,0,817,581
aprilgrid_render_002.png,11,1,742,581
aprilgrid_render_002.png,11,2,741,505
aprilgrid_render_002.png,11,3,816,505
aprilgrid_render_002.png,9,0,601,581
aprilgrid_render_002.png,9,1,526,581
aprilgrid_render_002.png,9,2,526,505
aprilgrid_render_002.png,9,3,601,505
aprilgrid_render_002.png,8,0,493,581
aprilgrid_render_002.png,8,1,418,581
aprilgrid_render_002.png,8,2,418,505
aprilgrid_render_002.png,8,3,493,505
aprilgrid_render_002.png,16,0,708,472
aprilgrid_render_002.png,16,1,633,472
aprilgrid_render_002.png,16,2,632,397
aprilgrid_render_002.png,16,3,707,397
aprilgrid_render_002.png,12,0,279,472
aprilgrid_render_002.png,12,1,204,472
aprilgrid_render_002.png,12,2,205,397
aprilgrid_render_002.png,12,3,280,397
aprilgrid_render_002.png,17,0,815,472
aprilgrid_render_002.png,17,1,740,472
aprilgrid_render_002.png,17,2,739,397
aprilgrid_render_002.png,17,3,813,397
aprilgrid_render_002.png,13,0,386,472
aprilgrid_render_002.png,13,1,311,472
aprilgrid_render_002.png,13,2,312,397
aprilgrid_render_002.png,13,3,386,397
aprilgrid_render_002.png,15,0,600,472
aprilgrid_render_002.png,15,1,526,472
aprilgrid_render_002.png,15,2,525,397
aprilgrid_render_002.png,15,3,600,397
aprilgrid_render_002.png,14,0,493,472
aprilgrid_render_002.png,14,1,418,472
aprilgrid_render_002.png,14,2,419,397
aprilgrid_render_002.png,14,3,493,397
aprilgrid_render_002.png,21,0,600,365
aprilgrid_render_002.png,21,1,525,365
aprilgrid_render_002.png,21,2,525,292
aprilgrid_render_002.png,21,3,599,292
aprilgrid_render_002.png,22,0,706,365
aprilgrid_render_002.png,22,1,632,365
aprilgrid_render_002.png,22,2,631,292
aprilgrid_render_002.png,22,3,705,292
aprilgrid_render_002.png,19,0,387,365
aprilgrid_render_002.png,19,1,313,365
aprilgrid_render_002.png,19,2,313,292
aprilgrid_render_002.png,19,3,387,292
aprilgrid_render_002.png,18,0,280,365
aprilgrid_render_002.png,18,1,206,365
aprilgrid_render_002.png,18,2,207,292
aprilgrid_render_002.png,18,3,281,292
aprilgrid_render_002.png,23,0,812,365
aprilgrid_render_002.png,23,1,738,365
aprilgrid_render_002.png,23,2,737,292
